Date,Sessions,Net Sales,Likes,Comments,Instagram Post?
2021-05-31,0.0,£0.00,0.0,0.0,No
2021-06-01,0.0,£0.00,0.0,0.0,No
2021-06-02,0.0,£0.00,0.0,0.0,No
2021-06-03,0.0,£0.00,0.0,0.0,No
2021-06-04,0.0,£0.00,0.0,0.0,No
2021-06-05,0.0,£0.00,465.0,25.0,Yes
2021-06-06,0.0,£0.00,0.0,0.0,No
2021-06-07,0.0,£0.00,0.0,0.0,No
2021-06-08,0.0,£0.00,0.0,0.0,No
2021-06-09,0.0,£0.00,0.0,0.0,No
2021-06-10,0.0,£0.00,250.0,26.0,Yes
2021-06-11,0.0,£0.00,0.0,0.0,No
2021-06-12,0.0,£0.00,376.0,26.0,Yes
2021-06-13,0.0,£0.00,0.0,0.0,No
2021-06-14,0.0,£0.00,0.0,0.0,No
2021-06-15,0.0,£0.00,0.0,0.0,No
2021-06-16,0.0,£0.00,0.0,0.0,No
2021-06-17,0.0,£0.00,279.0,33.0,Yes
2021-06-18,0.0,£0.00,0.0,0.0,No
2021-06-19,0.0,£0.00,0.0,0.0,No
2021-06-20,0.0,£0.00,0.0,0.0,No
2021-06-21,0.0,£0.00,0.0,0.0,No
2021-06-22,0.0,£0.00,0.0,0.0,No
2021-06-23,0.0,£0.00,0.0,0.0,No
2021-06-24,0.0,£0.00,0.0,0.0,No
2021-06-25,0.0,£0.00,0.0,0.0,No
2021-06-26,0.0,£0.00,0.0,0.0,No
2021-06-27,0.0,£0.00,0.0,0.0,No
2021-06-28,0.0,£0.00,0.0,0.0,No
2021-06-29,0.0,£56.00,0.0,0.0,No
2021-06-30,0.0,£0.00,0.0,0.0,No
2021-07-01,0.0,£0.00,0.0,0.0,No
2021-07-02,0.0,£0.00,0.0,0.0,No
2021-07-03,0.0,£0.00,104.0,3.0,Yes
2021-07-04,0.0,£0.00,0.0,0.0,No
2021-07-05,0.0,£0.00,0.0,0.0,No
2021-07-06,0.0,£0.00,0.0,0.0,No
2021-07-07,0.0,£0.00,0.0,0.0,No
2021-07-08,0.0,£0.00,0.0,0.0,No
2021-07-09,0.0,£0.00,0.0,0.0,No
2021-07-10,0.0,£0.00,0.0,0.0,No
2021-07-11,0.0,£0.00,201.0,10.0,Yes
2021-07-12,0.0,£213.00,0.0,0.0,No
2021-07-13,0.0,£0.00,0.0,0.0,No
2021-07-14,0.0,£0.00,0.0,0.0,No
2021-07-15,0.0,£0.00,0.0,0.0,No
2021-07-16,0.0,£0.00,0.0,0.0,No
2021-07-17,0.0,£0.00,310.0,27.0,Yes
2021-07-18,0.0,£0.00,0.0,0.0,No
2021-07-19,0.0,£0.00,0.0,0.0,No
2021-07-20,0.0,£0.00,0.0,0.0,No
2021-07-21,0.0,£0.00,0.0,0.0,No
2021-07-22,0.0,£0.00,0.0,0.0,No
2021-07-23,0.0,£0.00,0.0,0.0,No
2021-07-24,0.0,£0.00,0.0,0.0,No
2021-07-25,0.0,£0.00,166.0,9.0,Yes
2021-07-26,0.0,£0.00,0.0,0.0,No
2021-07-27,0.0,£0.00,0.0,0.0,No
2021-07-28,0.0,£0.00,0.0,0.0,No
2021-07-29,0.0,£0.00,0.0,0.0,No
2021-07-30,0.0,£0.00,0.0,0.0,No
2021-07-31,0.0,£0.00,0.0,0.0,No
2021-08-01,0.0,£0.00,0.0,0.0,No
2021-08-02,0.0,£75.00,283.0,14.0,Yes
2021-08-03,0.0,£0.00,0.0,0.0,No
2021-08-04,0.0,£0.00,0.0,0.0,No
2021-08-05,0.0,£0.00,107.0,5.0,Yes
2021-08-06,0.0,£0.00,0.0,0.0,No
2021-08-07,0.0,£0.00,69.0,5.0,Yes
2021-08-08,0.0,£0.00,107.0,7.0,Yes
2021-08-09,0.0,£0.00,181.0,12.0,Yes
2021-08-10,0.0,£0.00,0.0,0.0,No
2021-08-11,0.0,£0.00,134.0,3.0,Yes
2021-08-12,0.0,£0.00,262.0,19.0,Yes
2021-08-13,0.0,£0.00,0.0,0.0,No
2021-08-14,0.0,£0.00,162.0,8.0,Yes
2021-08-15,0.0,£0.00,0.0,0.0,No
2021-08-16,0.0,£0.00,0.0,0.0,No
2021-08-17,0.0,£0.00,0.0,0.0,No
2021-08-18,0.0,£0.00,0.0,0.0,No
2021-08-19,0.0,£0.00,0.0,0.0,No
2021-08-20,0.0,£0.00,0.0,0.0,No
2021-08-21,0.0,£0.00,0.0,0.0,No
2021-08-22,0.0,£0.00,194.0,13.0,Yes
2021-08-23,0.0,£0.00,0.0,0.0,No
2021-08-24,0.0,£0.00,0.0,0.0,No
2021-08-25,0.0,£185.00,0.0,0.0,No
2021-08-26,0.0,£0.00,86.0,0.0,Yes
2021-08-27,0.0,£0.00,0.0,0.0,No
2021-08-28,0.0,£0.00,0.0,0.0,No
2021-08-29,0.0,£0.00,0.0,0.0,No
2021-08-30,0.0,£0.00,0.0,0.0,No
2021-08-31,0.0,£0.00,0.0,0.0,No
2021-09-01,0.0,£0.00,0.0,0.0,No
2021-09-02,0.0,£0.00,0.0,0.0,No
2021-09-03,0.0,£0.00,0.0,0.0,No
2021-09-04,0.0,£0.00,0.0,0.0,No
2021-09-05,0.0,£0.00,0.0,0.0,No
2021-09-06,0.0,£0.00,0.0,0.0,No
2021-09-07,0.0,£0.00,0.0,0.0,No
2021-09-08,0.0,£0.00,0.0,0.0,No
2021-09-09,0.0,£0.00,0.0,0.0,No
2021-09-10,0.0,£0.00,0.0,0.0,No
2021-09-11,0.0,£0.00,0.0,0.0,No
2021-09-12,0.0,£0.00,159.0,5.0,Yes
2021-09-13,0.0,£0.00,0.0,0.0,No
2021-09-14,0.0,£0.00,0.0,0.0,No
2021-09-15,0.0,£0.00,0.0,0.0,No
2021-09-16,0.0,£60.00,0.0,0.0,No
2021-09-17,0.0,£56.00,238.0,13.0,Yes
2021-09-18,0.0,£0.00,0.0,0.0,No
2021-09-19,0.0,£0.00,0.0,0.0,No
2021-09-20,0.0,£0.00,65.0,0.0,Yes
2021-09-21,0.0,£0.00,0.0,0.0,No
2021-09-22,0.0,£0.00,0.0,0.0,No
2021-09-23,0.0,£0.00,0.0,0.0,No
2021-09-24,0.0,£0.00,0.0,0.0,No
2021-09-25,0.0,£0.00,160.0,5.0,Yes
2021-09-26,0.0,£272.00,0.0,0.0,No
2021-09-27,0.0,£0.00,0.0,0.0,No
2021-09-28,0.0,£0.00,0.0,0.0,No
2021-09-29,0.0,£0.00,0.0,0.0,No
2021-09-30,0.0,£0.00,0.0,0.0,No
2021-10-01,0.0,£0.00,0.0,0.0,No
2021-10-02,0.0,£144.00,277.0,570.0,Yes
2021-10-03,0.0,£0.00,0.0,0.0,No
2021-10-04,0.0,£0.00,0.0,0.0,No
2021-10-05,0.0,£0.00,75.0,9.0,Yes
2021-10-06,0.0,£0.00,0.0,0.0,No
2021-10-07,0.0,£218.00,107.0,11.0,Yes
2021-10-08,0.0,£0.00,0.0,0.0,No
2021-10-09,0.0,£0.00,0.0,0.0,No
2021-10-10,0.0,£0.00,0.0,0.0,No
2021-10-11,0.0,£0.00,0.0,0.0,No
2021-10-12,0.0,£0.00,0.0,0.0,No
2021-10-13,0.0,£0.00,0.0,0.0,No
2021-10-14,0.0,£0.00,0.0,0.0,No
2021-10-15,0.0,£0.00,0.0,0.0,No
2021-10-16,0.0,£0.00,0.0,0.0,No
2021-10-17,0.0,£0.00,85.0,2.0,Yes
2021-10-18,0.0,£0.00,0.0,0.0,No
2021-10-19,0.0,£0.00,0.0,0.0,No
2021-10-20,0.0,£0.00,0.0,0.0,No
2021-10-21,0.0,£0.00,0.0,0.0,No
2021-10-22,0.0,£0.00,78.0,4.0,Yes
2021-10-23,0.0,£0.00,0.0,0.0,No
2021-10-24,0.0,£0.00,119.0,1.0,Yes
2021-10-25,0.0,£0.00,0.0,0.0,No
2021-10-26,0.0,£0.00,0.0,0.0,No
2021-10-27,0.0,£0.00,0.0,0.0,No
2021-10-28,0.0,£0.00,0.0,0.0,No
2021-10-29,0.0,£0.00,70.0,6.0,Yes
2021-10-30,0.0,£0.00,0.0,0.0,No
2021-10-31,0.0,£0.00,0.0,0.0,No
2021-11-01,0.0,£0.00,0.0,0.0,No
2021-11-02,0.0,£0.00,0.0,0.0,No
2021-11-03,0.0,£0.00,0.0,0.0,No
2021-11-04,0.0,£0.00,0.0,0.0,No
2021-11-05,0.0,£0.00,0.0,0.0,No
2021-11-06,0.0,£0.00,0.0,0.0,No
2021-11-07,0.0,£0.00,104.0,8.0,Yes
2021-11-08,0.0,£0.00,0.0,0.0,No
2021-11-09,0.0,£0.00,0.0,0.0,No
2021-11-10,0.0,£0.00,0.0,0.0,No
2021-11-11,0.0,£0.00,106.0,9.0,Yes
2021-11-12,0.0,£0.00,0.0,0.0,No
2021-11-13,0.0,£0.00,0.0,0.0,No
2021-11-14,0.0,£0.00,0.0,0.0,No
2021-11-15,0.0,£0.00,0.0,0.0,No
2021-11-16,0.0,£0.00,258.0,11.0,Yes
2021-11-17,0.0,£0.00,0.0,0.0,No
2021-11-18,0.0,£0.00,0.0,0.0,No
2021-11-19,0.0,£0.00,0.0,0.0,No
2021-11-20,0.0,£0.00,0.0,0.0,No
2021-11-21,0.0,£0.00,0.0,0.0,No
2021-11-22,0.0,£0.00,52.0,0.0,Yes
2021-11-23,0.0,£50.00,0.0,0.0,No
2021-11-24,0.0,£0.00,0.0,0.0,No
2021-11-25,0.0,£0.00,325.0,20.0,Yes
2021-11-26,0.0,£54.00,0.0,0.0,No
2021-11-27,0.0,£0.00,461.0,11.0,Yes
2021-11-28,0.0,£0.00,0.0,0.0,No
2021-11-29,0.0,£412.00,0.0,0.0,No
2021-11-30,0.0,£79.00,0.0,0.0,No
2021-12-01,0.0,£0.00,0.0,0.0,No
2021-12-02,0.0,£0.00,0.0,0.0,No
2021-12-03,0.0,£159.00,0.0,0.0,No
2021-12-04,0.0,£0.00,80.0,1.0,Yes
2021-12-05,0.0,£18.00,91.0,6.0,Yes
2021-12-06,0.0,£0.00,0.0,0.0,No
2021-12-07,0.0,£22.00,0.0,0.0,No
2021-12-08,0.0,£0.00,0.0,0.0,No
2021-12-09,0.0,£0.00,0.0,0.0,No
2021-12-10,0.0,£0.00,0.0,0.0,No
2021-12-11,0.0,£0.00,0.0,0.0,No
2021-12-12,0.0,£25.00,123.0,5.0,Yes
2021-12-13,0.0,£0.00,0.0,0.0,No
2021-12-14,0.0,£0.00,101.0,2.0,Yes
2021-12-15,0.0,£0.00,0.0,0.0,No
2021-12-16,0.0,£48.00,0.0,0.0,No
2021-12-17,0.0,£0.00,0.0,0.0,No
2021-12-18,0.0,£0.00,147.0,7.0,Yes
2021-12-19,0.0,£0.00,0.0,0.0,No
2021-12-20,0.0,£0.00,0.0,0.0,No
2021-12-21,0.0,£0.00,0.0,0.0,No
2021-12-22,0.0,£0.00,0.0,0.0,No
2021-12-23,0.0,£0.00,0.0,0.0,No
2021-12-24,0.0,£0.00,313.0,9.0,Yes
2021-12-25,0.0,£0.00,0.0,0.0,No
2021-12-26,0.0,£0.00,0.0,0.0,No
2021-12-27,0.0,£90.00,0.0,0.0,No
2021-12-28,0.0,£0.00,0.0,0.0,No
2021-12-29,0.0,£0.00,0.0,0.0,No
2021-12-30,0.0,£0.00,0.0,0.0,No
2021-12-31,0.0,£0.00,0.0,0.0,No
2022-01-01,0.0,£34.00,0.0,0.0,No
2022-01-02,0.0,£0.00,0.0,0.0,No
2022-01-03,0.0,£0.00,0.0,0.0,No
2022-01-04,0.0,£0.00,0.0,0.0,No
2022-01-05,0.0,£0.00,0.0,0.0,No
2022-01-06,0.0,£0.00,0.0,0.0,No
2022-01-07,0.0,£0.00,0.0,0.0,No
2022-01-08,0.0,£0.00,0.0,0.0,No
2022-01-09,0.0,£0.00,0.0,0.0,No
2022-01-10,0.0,£0.00,0.0,0.0,No
2022-01-11,0.0,£0.00,0.0,0.0,No
2022-01-12,0.0,£0.00,0.0,0.0,No
2022-01-13,0.0,£0.00,0.0,0.0,No
2022-01-14,0.0,£0.00,0.0,0.0,No
2022-01-15,0.0,£0.00,0.0,0.0,No
2022-01-16,0.0,£0.00,0.0,0.0,No
2022-01-17,0.0,£0.00,0.0,0.0,No
2022-01-18,0.0,£0.00,0.0,0.0,No
2022-01-19,0.0,£96.00,0.0,0.0,No
2022-01-20,0.0,£0.00,0.0,0.0,No
2022-01-21,0.0,£0.00,0.0,0.0,No
2022-01-22,0.0,£0.00,0.0,0.0,No
2022-01-23,0.0,£68.00,0.0,0.0,No
2022-01-24,0.0,£0.00,0.0,0.0,No
2022-01-25,0.0,£0.00,0.0,0.0,No
2022-01-26,0.0,£176.00,0.0,0.0,No
2022-01-27,0.0,£0.00,240.0,9.0,Yes
2022-01-28,0.0,£0.00,0.0,0.0,No
2022-01-29,0.0,£0.00,0.0,0.0,No
2022-01-30,0.0,£0.00,0.0,0.0,No
2022-01-31,0.0,£0.00,0.0,0.0,No
2022-02-01,0.0,£0.00,241.0,10.0,Yes
2022-02-02,0.0,£0.00,0.0,0.0,No
2022-02-03,0.0,£0.00,0.0,0.0,No
2022-02-04,0.0,£0.00,0.0,0.0,No
2022-02-05,0.0,£0.00,0.0,0.0,No
2022-02-06,0.0,£0.00,0.0,0.0,No
2022-02-07,0.0,£0.00,0.0,0.0,No
2022-02-08,0.0,£0.00,0.0,0.0,No
2022-02-09,0.0,£0.00,0.0,0.0,No
2022-02-10,0.0,£0.00,0.0,0.0,No
2022-02-11,0.0,£90.00,0.0,0.0,No
2022-02-12,0.0,£0.00,147.0,8.0,Yes
2022-02-13,0.0,£0.00,0.0,0.0,No
2022-02-14,0.0,£0.00,0.0,0.0,No
2022-02-15,0.0,£0.00,0.0,0.0,No
2022-02-16,0.0,£0.00,0.0,0.0,No
2022-02-17,0.0,£0.00,0.0,0.0,No
2022-02-18,0.0,£0.00,0.0,0.0,No
2022-02-19,0.0,£0.00,0.0,0.0,No
2022-02-20,0.0,£0.00,0.0,0.0,No
2022-02-21,0.0,£0.00,0.0,0.0,No
2022-02-22,0.0,£0.00,0.0,0.0,No
2022-02-23,0.0,£0.00,0.0,0.0,No
