"Referrer source","Referrer name","Day","Landing page URL","Session device type","Online store visitors","Sessions"
"social","facebook","2022-10-01","https://www.hensandhollyhocks.com/?fbclid=IwAR3MC80n15KkxMdfY3iXZ1nAhgxBvMzmxtxwyiX_Dm1-Sz0ZNQZf06x0wUA","desktop",1,1
"search","google","2022-10-01","https://www.hensandhollyhocks.com/products/hobnail-glasses-set-of-6","desktop",1,1
"search","google","2022-10-01","https://www.hensandhollyhocks.com/products/scallop-edge-dinner-plate","mobile",1,1
"direct",,"2022-10-01","https://www.hensandhollyhocks.com/collections/tableware?_fd=0","desktop",1,1
"direct",,"2022-10-01","https://www.hensandhollyhocks.com/products/citron-green-coral-scallop-edge-dessert-side-plate?_fd=0","desktop",1,1
"direct",,"2022-10-01","https://www.hensandhollyhocks.com/?_fd=0","desktop",1,1
"search","google","2022-10-02","https://www.hensandhollyhocks.com/products/lemon-napkin-rings-set-of-four","mobile",1,1
"direct",,"2022-10-02","https://www.hensandhollyhocks.com/collections/tableware?_fd=0","desktop",1,1
"search","google","2022-10-02","https://www.hensandhollyhocks.com/products/white-lace-dinner-plate","mobile",1,1
"direct",,"2022-10-02","https://www.hensandhollyhocks.com/products/citron-green-coral-scallop-edge-dessert-side-plate?_fd=0","desktop",1,1
"direct",,"2022-10-02","https://www.hensandhollyhocks.com/?_fd=0","desktop",1,1
"search","google","2022-10-02","https://www.hensandhollyhocks.com/collections/hobnail-jugs","mobile",1,1
"direct","hensandhollyhocks","2022-10-02","https://www.hensandhollyhocks.com/collections/candleware","mobile",1,1
"search","google","2022-10-03","https://www.hensandhollyhocks.com/products/brass-bee-door-knocker-rose-gold-finish","mobile",1,1
"direct",,"2022-10-04","https://www.hensandhollyhocks.com/pages/about-us","desktop",19,19
"direct",,"2022-10-04","https://www.hensandhollyhocks.com/?_fd=0","desktop",1,1
"direct",,"2022-10-04","https://www.hensandhollyhocks.com/products/citron-green-coral-scallop-edge-dessert-side-plate?_fd=0","desktop",1,1
"social","facebook","2022-10-04","https://www.hensandhollyhocks.com/?fbclid=IwAR1HkR_OcVpXtFBPHtYiztpmV04irdZezbcwJ1AkrUHZgLVlgrqr5ADGZog","desktop",1,1
"search","google","2022-10-04","https://www.hensandhollyhocks.com/products/hobnail-glasses-light-blue-set-of-6","desktop",1,1
"search","google","2022-10-04","https://www.hensandhollyhocks.com/products/scalloped-edge-rattan-tray","desktop",1,1
"direct",,"2022-10-04","https://www.hensandhollyhocks.com/pages/contact-us","desktop",21,21
"direct",,"2022-10-04","https://www.hensandhollyhocks.com/","desktop",4,4
"direct","hensandhollyhocks","2022-10-04","https://www.hensandhollyhocks.com/collections/hobnail-jugs","desktop",1,1
"direct",,"2022-10-04","https://www.hensandhollyhocks.com/collections/tableware?_fd=0","desktop",1,1
"search","google","2022-10-04","https://www.hensandhollyhocks.com/products/rattan-breakfast-tray","mobile",1,1
"search","google","2022-10-05","https://www.hensandhollyhocks.com/products/hobnail-jug-light-blue","mobile",1,1
"direct",,"2022-10-05","https://www.hensandhollyhocks.com/","desktop",1,1
"direct",,"2022-10-05","https://www.hensandhollyhocks.com/?_fd=0","desktop",1,1
"social","instagram","2022-10-05","https://www.hensandhollyhocks.com/","mobile",1,1
"search","google","2022-10-05","https://www.hensandhollyhocks.com/products/white-lace-dinner-plate","mobile",1,1
"search","google","2022-10-05","https://www.hensandhollyhocks.com/products/five-piece-bamboo-flatware-set","mobile",1,1
"direct",,"2022-10-05","https://www.hensandhollyhocks.com/collections/tableware?_fd=0","desktop",1,1
"direct",,"2022-10-05","https://www.hensandhollyhocks.com/products/citron-green-coral-scallop-edge-dessert-side-plate?_fd=0","desktop",1,1
"search","google","2022-10-06","https://www.hensandhollyhocks.com/","desktop",1,2
"direct",,"2022-10-06","https://www.hensandhollyhocks.com/","desktop",2,2
"direct",,"2022-10-06","https://www.hensandhollyhocks.com/products/rattan-breakfast-tray","mobile",1,2
"direct",,"2022-10-06","https://www.hensandhollyhocks.com/collections/tableware?_fd=0","desktop",1,1
"direct",,"2022-10-06","https://www.hensandhollyhocks.com/products/citron-green-coral-scallop-edge-dessert-side-plate?_fd=0","desktop",1,1
"direct","hensandhollyhocks","2022-10-06","https://www.hensandhollyhocks.com/pages/contact-us","desktop",1,1
"search","google","2022-10-06","https://www.hensandhollyhocks.com/collections/tableware","desktop",1,1
"direct",,"2022-10-06","https://www.hensandhollyhocks.com/?_fd=0","desktop",1,1
"search","google","2022-10-06","https://www.hensandhollyhocks.com/","mobile",2,2
"search","google","2022-10-06","https://www.hensandhollyhocks.com/products/plate","mobile",1,1
"search","google","2022-10-07","https://www.hensandhollyhocks.com/","mobile",1,1
"direct",,"2022-10-07","https://www.hensandhollyhocks.com/collections/tableware?_fd=0","desktop",1,1
"direct",,"2022-10-07","https://www.hensandhollyhocks.com/products/citron-green-coral-scallop-edge-dessert-side-plate?_fd=0","desktop",1,1
"search","bing","2022-10-07","https://www.hensandhollyhocks.com/","desktop",1,1
"direct",,"2022-10-07","https://www.hensandhollyhocks.com/?_fd=0","desktop",1,1
"social","instagram","2022-10-07","https://www.hensandhollyhocks.com/","mobile",1,1
"search","google","2022-10-07","https://www.hensandhollyhocks.com/","desktop",1,1
"social","instagram","2022-10-07","https://www.hensandhollyhocks.com/","desktop",1,1
