"Day","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Duties","Additional fees","Taxes","Total sales","Day (previous_period)","Orders (previous_period)","Gross sales (previous_period)","Discounts (previous_period)","Returns (previous_period)","Net sales (previous_period)","Shipping charges (previous_period)","Duties (previous_period)","Additional fees (previous_period)","Taxes (previous_period)","Total sales (previous_period)"
"2021-05-31",0,0,0,0,0,0,0,0,0,0,"2017-07-15",0,0,0,0,0,0,0,0,0,0
"2021-06-01",0,0,0,0,0,0,0,0,0,0,"2017-07-16",0,0,0,0,0,0,0,0,0,0
"2021-06-02",0,0,0,0,0,0,0,0,0,0,"2017-07-17",0,0,0,0,0,0,0,0,0,0
"2021-06-03",0,0,0,0,0,0,0,0,0,0,"2017-07-18",0,0,0,0,0,0,0,0,0,0
"2021-06-04",0,0,0,0,0,0,0,0,0,0,"2017-07-19",0,0,0,0,0,0,0,0,0,0
"2021-06-05",0,0,0,0,0,0,0,0,0,0,"2017-07-20",0,0,0,0,0,0,0,0,0,0
"2021-06-06",0,0,0,0,0,0,0,0,0,0,"2017-07-21",0,0,0,0,0,0,0,0,0,0
"2021-06-07",0,0,0,0,0,0,0,0,0,0,"2017-07-22",0,0,0,0,0,0,0,0,0,0
"2021-06-08",0,0,0,0,0,0,0,0,0,0,"2017-07-23",0,0,0,0,0,0,0,0,0,0
"2021-06-09",0,0,0,0,0,0,0,0,0,0,"2017-07-24",0,0,0,0,0,0,0,0,0,0
"2021-06-10",0,0,0,0,0,0,0,0,0,0,"2017-07-25",0,0,0,0,0,0,0,0,0,0
"2021-06-11",0,0,0,0,0,0,0,0,0,0,"2017-07-26",0,0,0,0,0,0,0,0,0,0
"2021-06-12",0,0,0,0,0,0,0,0,0,0,"2017-07-27",0,0,0,0,0,0,0,0,0,0
"2021-06-13",0,0,0,0,0,0,0,0,0,0,"2017-07-28",0,0,0,0,0,0,0,0,0,0
"2021-06-14",0,0,0,0,0,0,0,0,0,0,"2017-07-29",0,0,0,0,0,0,0,0,0,0
"2021-06-15",0,0,0,0,0,0,0,0,0,0,"2017-07-30",0,0,0,0,0,0,0,0,0,0
"2021-06-16",0,0,0,0,0,0,0,0,0,0,"2017-07-31",0,0,0,0,0,0,0,0,0,0
"2021-06-17",0,0,0,0,0,0,0,0,0,0,"2017-08-01",0,0,0,0,0,0,0,0,0,0
"2021-06-18",0,0,0,0,0,0,0,0,0,0,"2017-08-02",0,0,0,0,0,0,0,0,0,0
"2021-06-19",0,0,0,0,0,0,0,0,0,0,"2017-08-03",0,0,0,0,0,0,0,0,0,0
"2021-06-20",0,0,0,0,0,0,0,0,0,0,"2017-08-04",0,0,0,0,0,0,0,0,0,0
"2021-06-21",0,0,0,0,0,0,0,0,0,0,"2017-08-05",0,0,0,0,0,0,0,0,0,0
"2021-06-22",0,0,0,0,0,0,0,0,0,0,"2017-08-06",0,0,0,0,0,0,0,0,0,0
"2021-06-23",0,0,0,0,0,0,0,0,0,0,"2017-08-07",0,0,0,0,0,0,0,0,0,0
"2021-06-24",0,0,0,0,0,0,0,0,0,0,"2017-08-08",0,0,0,0,0,0,0,0,0,0
"2021-06-25",0,0,0,0,0,0,0,0,0,0,"2017-08-09",0,0,0,0,0,0,0,0,0,0
"2021-06-26",0,0,0,0,0,0,0,0,0,0,"2017-08-10",0,0,0,0,0,0,0,0,0,0
"2021-06-27",0,0,0,0,0,0,0,0,0,0,"2017-08-11",0,0,0,0,0,0,0,0,0,0
"2021-06-28",0,0,0,0,0,0,0,0,0,0,"2017-08-12",0,0,0,0,0,0,0,0,0,0
"2021-06-29",1,56,0,0,56,7.5,0,0,0,63.5,"2017-08-13",0,0,0,0,0,0,0,0,0,0
"2021-06-30",0,0,0,0,0,0,0,0,0,0,"2017-08-14",0,0,0,0,0,0,0,0,0,0
"2021-07-01",0,0,0,0,0,0,0,0,0,0,"2017-08-15",0,0,0,0,0,0,0,0,0,0
"2021-07-02",0,0,0,0,0,0,0,0,0,0,"2017-08-16",0,0,0,0,0,0,0,0,0,0
"2021-07-03",0,0,0,0,0,0,0,0,0,0,"2017-08-17",0,0,0,0,0,0,0,0,0,0
"2021-07-04",0,0,0,0,0,0,0,0,0,0,"2017-08-18",0,0,0,0,0,0,0,0,0,0
