date,shortcode,likes,comments
2025-04-06,DIHakU9utWR,3,8
2025-03-24,DHl6UYQKVDn,3,1
2025-03-23,DHjZCkgKnfK,46,7
2025-03-16,DHRW5FvuhRq,3,1
2025-03-12,DHHNZc3ugmK,3,3
2025-03-01,DGq6KJ5uumF,57,8
2024-12-22,DD5MORGRe_K,3,0
2024-12-11,DDb0shQO_Lx,3,2
2024-12-01,DDDCPp4xBER,3,4
2024-11-24,DCw40BnuisG,24,0
2024-11-20,DCmviW_R4DB,104,0
2024-10-30,DBwarnMOoEz,35,4
2024-10-01,DAl_DZQRBI8,35,4
2024-08-27,C_Ln3sBqRhb,3,3
2024-08-15,C-s7gYuOMcg,3,2
2024-08-03,C-N719kq448,3,1
2024-07-11,C9SmKokq1IQ,348,30
2024-07-08,C9K5z7OqLyL,3,1
2024-07-07,C9IMYeHKl5v,78,5
2024-07-06,C9FkkGlKl71,141,6
2024-06-25,C8pgJoRKkme,91,2
2024-06-21,C8eutitKaUO,3,1
2024-06-06,C73pH55qZ3g,3,1
2024-06-03,C7xE85vOiPR,71,0
2024-03-24,C46OCCoL9yU,3,4
2024-03-10,C4VzhaAqkT7,141,2
2024-03-06,C4KwWASrp_9,3,0
2024-03-01,C3-pi75Ls0b,88,2
2024-02-14,C3Uqu8uKQAY,3,1
2024-02-12,C3QiMf0LLYp,3,1
2024-02-11,C3N8UOarG0m,254,4
2024-02-09,C3I7zakL-F7,43,0
2024-02-06,C3BEdqKrdo1,151,8
2024-02-05,C2-YgwqL7c6,3,0
2024-02-03,C25clVHLyuG,53,1
2023-12-13,C0zeCUTLGgW,264,9
2023-12-09,C0o_vGVLvpg,3,1
2023-12-07,C0kGsO8rtTU,100,1
2023-12-06,C0hc6XILsl6,124,2
2023-12-04,C0cXYWULzpT,6461,79
2023-12-03,C0Zt5b-KcnU,3,2
2023-12-03,C0Y5MlzL_H1,82,1
2023-12-02,C0W-9-jqbTi,69,4
2023-11-30,C0RxH1MKwEE,144,6
2023-11-29,C0PWxXRrcHI,3062,42
2023-11-26,C0Gu6KuLutu,105,2
2023-11-25,C0ELOpmqHSj,20123,336
2023-11-24,C0CU6GNqNN3,261,15
2023-10-26,Cy3K_qgqxEH,148,1
2023-10-25,Cy0l_PbKghS,119,0
2023-10-04,Cx_RetrLRuf,625,24
2023-07-27,CvNko29L3js,64,5
2023-06-10,CtUYKyAg6o7,3,4
2023-06-06,CtKHW0kLS1-,76,5
2023-05-16,CsT7h-BqJVJ,107,3
2023-05-13,CsMWM3_AKUa,303,6
2023-05-08,Cr-fTv-rkHB,3,0
2023-04-28,Crlsq3frdWS,56,6
2023-04-15,CrDSuXorSWd,67,1
2023-04-06,CqtB_MArB79,338,4
2023-03-28,CqVb2EDqPm1,43,2
2023-03-19,Cp98bSJLBNy,99,2
2023-03-17,Cp5bVH-qGx8,149,4
2023-03-16,Cp21ENOq5UA,45,2
2023-03-11,CpqXoYfr47b,140,11
2023-03-02,CpSW0qCoh0J,597,27
2023-02-12,CokwRXjL_cO,175,5
2023-02-09,CodAJSor6TH,231,4
2022-12-29,Cmv__LVLgwO,241,11
2022-12-25,CmmqN6CorsB,118,0
2022-12-21,CmcHXc6hfUh,460,21
2022-12-21,CmcAeM4rwX2,59,2
2022-12-16,CmObHIeLhRK,102,2
2022-12-11,CmCy7Rjrcpf,126,9
2022-12-07,Cl4OhI6AWGb,576,15
2022-12-06,Cl1cQDGKMNr,138,6
2022-11-28,ClhLiFago-X,649,48
2022-11-27,CldY59XAV6w,628,17
2022-11-26,ClbG5PBrk4F,210,10
2022-11-13,Ck6I3Dlq01H,77,0
2022-10-23,CkDzbs1qwcy,285,8
2022-10-16,CjxMEStrSau,235,15
2022-10-08,CjdqEDcATHT,360,14
2022-09-21,CiwWAdwK_3t,101,5
2022-09-11,CiXgVIjq_Ki,31,2
2022-08-22,ChkdBGrgB-1,428,34
2022-08-17,ChW7uXPj9hM,67,2
2022-08-14,ChPAQEIrGqV,254,15
2022-08-07,Cg9xUIfqH8Z,323,18
2022-07-23,CgXXjPRrn5L,743,24
2022-07-10,Cf1TpeTqVns,322,18
2022-07-02,CfhZbclLdRh,202,3
2022-07-01,CfeimAOq5tG,80,3
2022-06-26,CfRfdKVKiVO,558,10
2022-06-24,CfMUFb7qQU-,119,9
2022-05-31,CeOjmb1DoGm,251,11
2022-05-30,CeMJJUbKTgi,466,10
2022-05-08,CdThYOTqvuo,286,16
2022-05-08,CdSjxEBqLvS,437,6
2022-04-23,Ccr_M3xqeuF,85,2
2022-04-13,CcSc3RCgD-1,488,23
2022-04-11,CcM9D65qLpm,234,7
2022-03-23,CbcPoFCK0N-,172,3
2022-03-22,CbaIvzGqmYj,126,3
2022-03-21,CbXmC7PKtnt,205,3
2022-03-20,CbUdqGiqrqr,691,40
2022-03-17,CbNIZWxK_3A,347,30
2022-03-15,CbIJS_FKvb5,275,15
2022-02-12,CZ3-LteLETA,147,8
2022-02-01,CZb1NKKrrSt,241,10
2022-01-27,CZO7Ez9LvQ0,240,9
2021-12-24,CX3-F5MLHzk,313,9
2021-12-18,CXntsbyLeO_,147,7
2021-12-14,CXdK5VjrAtS,101,2
2021-12-12,CXYe91_LUnP,123,5
2021-12-05,CXGoQzXq-4n,91,6
2021-12-04,CXCn_T8qUaP,80,1
2021-11-27,CWyd21KL53z,461,11
2021-11-25,CWtTyrrLzaa,325,20
2021-11-22,CWkzlQRKmQ3,52,0
2021-11-16,CWWdX42ry0r,258,11
2021-11-11,CWId90JKPnq,106,9
2021-11-07,CV-noTcF9Aq,104,8
2021-10-29,CVm_L-nL5Cx,70,6
2021-10-24,CVaFgsUKh41,119,1
2021-10-22,CVU-eJQqBU3,78,4
2021-10-17,CVJBakgrau6,85,2
2021-10-07,CUur7LHK8Tu,107,11
2021-10-05,CUpYkA6KsJ3,75,9
2021-10-02,CUhJU9CKBqT,277,570
2021-09-25,CUPjwoQKJnr,160,5
2021-09-20,CUCxCp5q5BL,65,0
