Day,Unique Checkout Started,Unique Placed Order,Unique Clicked Email,Unique Opened Email,Unique Unsubscribed from Email Marketing,Total Checkout Started Value,Total Placed Order Value,Unique Active on Site,Unique Form submitted by profile,Unique Viewed Product
24 Apr 2024,1,1,0,0,0,116.28,116.28,0,0,0
05 May 2024,1,1,0,0,0,196.86,196.86,0,0,0
08 May 2024,1,1,0,0,0,184.62,184.62,0,0,0
09 May 2024,1,1,0,0,0,91.5,91.5,0,0,0
05 Jun 2024,2,2,0,0,0,225.0,225.0,0,0,0
13 Jun 2024,1,1,0,0,0,71.5,71.5,0,0,0
16 Jun 2024,1,1,0,0,0,474.3,474.3,0,0,0
01 Jul 2024,1,1,0,0,0,199.5,199.5,0,0,0
15 Jul 2024,1,1,0,0,0,77.5,77.5,0,0,0
16 Jul 2024,1,0,0,0,0,188.0,0.0,0,0,0
17 Jul 2024,1,0,0,0,0,80.0,0.0,0,0,0
19 Jul 2024,1,0,0,0,0,32.0,0.0,0,0,0
20 Jul 2024,1,0,0,0,0,151.0,0.0,0,0,0
22 Jul 2024,2,1,0,0,0,77.5,69.5,0,0,0
24 Jul 2024,1,0,0,0,0,30.0,0.0,0,0,0
25 Jul 2024,1,0,0,0,0,205.0,0.0,0,0,0
26 Jul 2024,1,0,0,0,0,140.0,0.0,0,0,0
27 Jul 2024,4,2,0,0,0,530.5,462.5,0,0,0
28 Jul 2024,2,1,0,0,0,167.5,47.5,0,0,0
29 Jul 2024,2,1,0,0,0,55.5,31.5,0,0,0
30 Jul 2024,1,0,0,0,0,951.0,0.0,0,0,0
31 Jul 2024,2,1,0,0,0,154.0,75.5,0,0,0
01 Aug 2024,3,2,0,0,0,248.5,122.0,0,0,0
02 Aug 2024,1,0,0,0,0,144.0,0.0,0,0,0
03 Aug 2024,1,0,0,0,0,180.0,0.0,0,0,0
04 Aug 2024,2,0,0,0,0,301.0,0.0,0,0,0
05 Aug 2024,2,1,0,0,0,263.5,97.5,0,0,0
06 Aug 2024,2,1,0,0,0,824.23,41.5,0,0,0
07 Aug 2024,2,0,0,1,0,145.0,0.0,1,1,0
08 Aug 2024,1,0,0,0,0,40.0,0.0,2,1,2
09 Aug 2024,2,0,9,98,6,339.0,0.0,8,1,2
10 Aug 2024,1,1,3,36,2,120.0,43.5,4,0,4
11 Aug 2024,1,0,1,14,1,130.0,0.0,3,0,1
12 Aug 2024,1,0,1,8,0,282.0,0.0,1,0,0
13 Aug 2024,2,0,1,6,0,384.5,0.0,3,0,2
14 Aug 2024,1,0,0,4,0,122.0,0.0,2,2,1
15 Aug 2024,1,0,0,0,0,210.0,0.0,1,0,1
16 Aug 2024,1,0,0,3,0,215.0,0.0,1,1,0
17 Aug 2024,1,0,0,1,0,509.0,0.0,0,0,0
18 Aug 2024,1,0,0,0,0,149.0,0.0,0,0,0
19 Aug 2024,1,0,0,3,0,256.0,0.0,0,0,0
20 Aug 2024,0,0,0,2,0,0.0,0.0,0,0,0
21 Aug 2024,0,0,0,2,0,0.0,0.0,0,0,0
23 Aug 2024,0,0,0,0,0,0.0,0.0,1,1,1
25 Aug 2024,0,0,0,2,0,0.0,0.0,3,1,2
26 Aug 2024,0,0,7,83,3,0.0,0.0,5,0,2
27 Aug 2024,0,0,3,35,0,0.0,0.0,5,0,2
28 Aug 2024,2,0,1,10,0,129.5,0.0,3,0,3
29 Aug 2024,1,0,0,3,0,285.0,0.0,0,0,0
30 Aug 2024,2,1,0,2,0,425.5,147.5,2,0,1
31 Aug 2024,1,0,0,1,1,62.0,0.0,0,0,0
01 Sep 2024,2,1,0,2,1,314.0,141.5,2,1,1
02 Sep 2024,0,0,0,5,0,0.0,0.0,2,0,1
03 Sep 2024,2,1,1,2,0,193.84,139.68,2,1,1
04 Sep 2024,0,0,0,3,0,0.0,0.0,1,0,1
05 Sep 2024,1,0,0,2,0,163.0,0.0,1,0,1
06 Sep 2024,1,0,0,1,0,162.0,0.0,0,0,0
07 Sep 2024,0,0,0,0,0,0.0,0.0,1,0,0
09 Sep 2024,2,0,0,1,0,581.43,0.0,2,2,1
11 Sep 2024,1,0,0,1,0,28.0,0.0,1,1,1
12 Sep 2024,2,0,0,0,0,218.0,0.0,0,0,0
13 Sep 2024,1,0,0,0,0,88.0,0.0,1,0,1
14 Sep 2024,1,0,0,1,0,153.0,0.0,1,1,0
15 Sep 2024,1,0,0,4,0,1470.1,0.0,1,1,1
16 Sep 2024,1,0,0,0,0,81.0,0.0,0,0,0
17 Sep 2024,1,0,0,0,0,172.0,0.0,0,0,0
18 Sep 2024,0,1,0,0,0,0.0,261.5,1,1,0
19 Sep 2024,1,0,0,0,0,336.0,0.0,0,0,0
20 Sep 2024,1,0,0,0,0,79.0,0.0,0,0,0
21 Sep 2024,1,0,0,0,0,224.0,0.0,1,1,1
22 Sep 2024,1,0,0,1,0,236.0,0.0,0,0,0
23 Sep 2024,1,0,0,0,0,72.0,0.0,0,0,0
24 Sep 2024,1,0,0,0,0,116.29,0.0,2,1,1
30 Sep 2024,1,0,0,1,0,168.0,0.0,0,0,0
01 Oct 2024,1,1,0,3,0,63.5,63.5,2,2,1
02 Oct 2024,0,0,0,0,0,0.0,0.0,2,0,1
03 Oct 2024,0,0,0,1,0,0.0,0.0,0,0,0
05 Oct 2024,1,1,0,0,0,67.5,67.5,0,0,0
08 Oct 2024,0,0,0,1,0,0.0,0.0,0,0,0
09 Oct 2024,0,0,0,1,0,0.0,0.0,1,1,0
10 Oct 2024,0,0,0,1,0,0.0,0.0,0,0,0
13 Oct 2024,1,0,0,1,0,166.64,0.0,0,0,0
14 Oct 2024,0,0,0,1,0,0.0,0.0,0,0,0
15 Oct 2024,1,1,0,1,0,56.0,63.5,0,0,0
16 Oct 2024,0,0,0,0,0,0.0,0.0,1,0,1
17 Oct 2024,0,0,0,2,0,0.0,0.0,0,0,0
18 Oct 2024,1,1,0,0,0,187.5,187.5,0,0,0
19 Oct 2024,2,1,0,1,0,375.5,31.5,2,2,0
20 Oct 2024,1,0,0,1,0,28.35,0.0,0,0,0
21 Oct 2024,0,0,0,0,0,0.0,0.0,1,0,0
22 Oct 2024,0,0,0,1,0,0.0,0.0,0,0,0
23 Oct 2024,1,1,0,0,0,16.0,23.5,0,0,0
24 Oct 2024,0,0,0,0,0,0.0,0.0,2,1,1
25 Oct 2024,0,0,0,0,0,0.0,0.0,1,0,1
26 Oct 2024,0,0,0,0,0,0.0,0.0,2,1,1
27 Oct 2024,0,0,0,0,0,0.0,0.0,1,1,1
28 Oct 2024,1,0,0,0,0,96.0,0.0,0,0,0
29 Oct 2024,1,1,1,1,0,76.0,83.5,1,0,1
30 Oct 2024,1,0,0,0,0,321.0,0.0,1,0,1
31 Oct 2024,1,1,0,1,0,151.5,151.5,2,1,1
01 Nov 2024,5,0,0,0,0,273.0,0.0,0,0,0
02 Nov 2024,5,0,0,1,0,609.0,0.0,3,1,1
03 Nov 2024,1,0,1,1,0,317.0,0.0,2,0,1
04 Nov 2024,1,1,0,1,0,188.02,180.54,0,0,0
05 Nov 2024,0,0,0,0,0,0.0,0.0,2,0,2
06 Nov 2024,2,2,0,1,0,37.0,37.0,0,0,0
08 Nov 2024,2,0,0,0,0,172.15,0.0,1,1,1
09 Nov 2024,1,1,0,1,0,35.5,35.5,2,0,1
10 Nov 2024,0,0,0,0,0,0.0,0.0,1,0,1
11 Nov 2024,0,0,0,0,0,0.0,0.0,1,0,0
12 Nov 2024,1,1,0,0,0,11.0,18.5,1,0,0
13 Nov 2024,0,0,0,0,0,0.0,0.0,1,1,0
15 Nov 2024,1,1,0,2,0,71.5,71.5,3,3,2
16 Nov 2024,1,0,10,84,3,18.5,0.0,9,1,7
17 Nov 2024,2,1,4,44,2,82.0,18.5,6,0,2
18 Nov 2024,2,1,2,20,3,146.16,135.43,6,3,4
19 Nov 2024,0,0,0,7,0,0.0,0.0,1,0,0
20 Nov 2024,0,0,0,5,0,0.0,0.0,1,0,1
21 Nov 2024,2,2,0,4,0,131.5,139.0,4,2,1
22 Nov 2024,0,0,0,2,0,0.0,0.0,2,1,2
23 Nov 2024,3,2,0,3,0,178.73,130.0,3,2,1
24 Nov 2024,0,0,0,0,0,0.0,0.0,1,1,0
25 Nov 2024,1,0,1,2,0,26.0,0.0,2,1,0
26 Nov 2024,2,1,1,5,0,512.5,149.5,2,2,1
27 Nov 2024,2,1,0,3,1,288.5,104.5,3,0,2
28 Nov 2024,0,0,0,0,0,0.0,0.0,1,1,0
29 Nov 2024,2,0,0,2,0,144.64,0.0,0,0,0
30 Nov 2024,2,2,1,6,0,77.0,77.0,3,2,3
01 Dec 2024,3,2,0,1,0,95.0,57.0,1,0,1
02 Dec 2024,0,0,0,1,0,0.0,0.0,0,0,0
03 Dec 2024,5,0,0,1,0,182.0,0.0,2,1,0
04 Dec 2024,9,1,0,2,0,1825.5,165.5,1,1,1
05 Dec 2024,5,0,0,2,0,431.0,0.0,0,0,0
06 Dec 2024,5,1,0,1,0,567.1,33.5,1,1,0
07 Dec 2024,1,1,0,2,0,170.34,170.34,2,2,1
08 Dec 2024,2,1,0,3,0,169.0,143.5,2,1,1
09 Dec 2024,3,3,0,2,0,430.99,415.46,3,2,1
10 Dec 2024,2,0,0,1,0,396.0,0.0,3,2,0
11 Dec 2024,9,0,0,1,0,894.0,0.0,2,1,0
12 Dec 2024,10,1,0,2,0,1251.0,67.5,2,1,1
13 Dec 2024,1,0,0,0,0,90.0,0.0,0,0,0
14 Dec 2024,5,1,0,1,0,612.0,119.5,1,0,1
15 Dec 2024,1,1,0,2,0,39.5,39.5,1,0,0
16 Dec 2024,0,0,0,0,0,0.0,0.0,1,1,0
17 Dec 2024,1,0,0,0,0,42.0,0.0,0,0,0
18 Dec 2024,0,0,0,1,0,0.0,0.0,0,0,0
19 Dec 2024,1,1,0,1,0,116.05,92.35,0,0,0
20 Dec 2024,1,0,0,1,0,72.0,0.0,0,0,0
21 Dec 2024,8,0,0,0,0,686.0,0.0,0,0,0
22 Dec 2024,8,1,0,0,0,739.5,47.5,1,1,1
23 Dec 2024,5,0,0,1,0,260.0,0.0,1,1,0
24 Dec 2024,8,0,0,0,0,744.0,0.0,0,0,0
26 Dec 2024,1,0,0,0,0,31.5,0.0,0,0,0
27 Dec 2024,0,0,0,0,0,0.0,0.0,1,1,1
28 Dec 2024,5,0,0,0,0,225.0,0.0,0,0,0
29 Dec 2024,5,0,0,0,0,221.0,0.0,0,0,0
31 Dec 2024,5,0,0,0,0,532.0,0.0,0,0,0
01 Jan 2025,5,1,0,1,0,393.5,117.5,0,0,0
02 Jan 2025,4,3,0,0,0,440.66,307.5,1,0,0
03 Jan 2025,1,1,0,0,0,62.0,69.5,3,2,1
04 Jan 2025,1,1,0,0,0,64.0,71.5,1,0,1
05 Jan 2025,1,0,0,0,0,128.0,0.0,2,1,2
06 Jan 2025,6,0,0,0,0,679.0,0.0,4,3,2
07 Jan 2025,2,0,0,2,0,583.5,0.0,2,0,1
08 Jan 2025,0,0,1,1,0,0.0,0.0,2,0,2
09 Jan 2025,0,0,0,1,0,0.0,0.0,0,0,0
10 Jan 2025,3,0,0,0,0,1030.5,0.0,2,1,1
11 Jan 2025,2,0,0,0,0,154.5,0.0,2,0,1
12 Jan 2025,1,0,0,1,0,128.0,0.0,2,1,0
13 Jan 2025,1,0,0,2,0,256.0,0.0,1,0,1
14 Jan 2025,2,1,1,1,0,46.0,291.5,1,0,1
15 Jan 2025,1,0,0,0,0,304.0,0.0,1,0,0
16 Jan 2025,4,1,0,1,0,274.0,55.5,0,0,0
17 Jan 2025,5,0,0,1,0,252.0,0.0,1,1,0
18 Jan 2025,7,2,0,1,0,289.0,64.0,1,0,0
19 Jan 2025,5,0,0,0,0,372.0,0.0,1,0,1
20 Jan 2025,4,0,0,0,0,381.0,0.0,0,0,0
21 Jan 2025,7,0,0,1,0,825.46,0.0,0,0,0
22 Jan 2025,6,1,0,1,0,379.5,35.5,0,0,0
23 Jan 2025,0,0,0,0,0,0.0,0.0,1,0,1
24 Jan 2025,4,1,0,0,0,286.0,340.0,0,0,0
25 Jan 2025,3,0,1,0,0,323.0,0.0,1,1,0
26 Jan 2025,4,0,0,0,0,286.0,0.0,1,0,1
27 Jan 2025,4,0,0,0,0,485.0,0.0,1,0,0
28 Jan 2025,5,1,0,0,0,281.5,35.5,0,0,0
29 Jan 2025,3,0,0,0,0,401.0,0.0,0,0,0
30 Jan 2025,3,0,0,0,0,149.0,0.0,1,1,0
31 Jan 2025,5,0,0,0,0,320.0,0.0,1,1,1
01 Feb 2025,4,0,0,0,0,413.0,0.0,0,0,0
02 Feb 2025,3,0,0,0,0,179.0,0.0,0,0,0
03 Feb 2025,5,1,0,1,0,612.87,171.78,2,2,2
04 Feb 2025,4,0,0,0,0,220.0,0.0,1,0,0
05 Feb 2025,7,0,0,0,0,365.0,0.0,0,0,0
06 Feb 2025,5,0,0,0,0,338.0,0.0,0,0,0
07 Feb 2025,3,0,0,1,0,61.0,0.0,1,1,1
08 Feb 2025,1,0,0,0,0,85.0,0.0,1,1,1
09 Feb 2025,5,0,1,1,0,243.0,0.0,1,0,0
10 Feb 2025,4,0,0,0,0,511.0,0.0,0,0,0
11 Feb 2025,1,0,0,0,0,964.0,0.0,0,0,0
16 Feb 2025,0,0,0,0,0,0.0,0.0,2,1,1
17 Feb 2025,0,0,0,1,0,0.0,0.0,0,0,0
19 Feb 2025,0,0,0,1,0,0.0,0.0,0,0,0
20 Feb 2025,1,1,0,0,0,137.45,109.14,0,0,0
21 Feb 2025,0,0,0,0,0,0.0,0.0,1,0,1
22 Feb 2025,1,0,0,0,0,77.61,0.0,1,0,1
23 Feb 2025,0,0,0,0,0,0.0,0.0,1,0,1
24 Feb 2025,0,0,0,0,0,0.0,0.0,1,0,1
25 Feb 2025,0,0,0,1,0,0.0,0.0,1,0,1
26 Feb 2025,0,0,0,0,0,0.0,0.0,1,0,1
27 Feb 2025,0,0,0,1,0,0.0,0.0,1,0,0
28 Feb 2025,0,0,6,79,2,0.0,0.0,3,0,1
01 Mar 2025,0,0,3,45,1,0.0,0.0,4,0,2
02 Mar 2025,0,0,2,15,0,0.0,0.0,4,1,1
03 Mar 2025,0,0,2,12,0,0.0,0.0,3,0,1
04 Mar 2025,1,1,1,9,0,47.5,47.5,3,2,3
05 Mar 2025,0,0,1,3,0,0.0,0.0,2,0,2
06 Mar 2025,1,0,0,4,0,115.74,0.0,2,1,2
07 Mar 2025,0,0,0,2,0,0.0,0.0,0,0,0
08 Mar 2025,0,0,0,0,0,0.0,0.0,1,0,1
09 Mar 2025,0,0,0,1,0,0.0,0.0,1,0,1
10 Mar 2025,0,0,14,92,3,0.0,0.0,14,1,6
11 Mar 2025,1,0,1,58,2,363.36,0.0,4,2,1
12 Mar 2025,2,2,1,14,0,552.62,439.64,5,1,4
13 Mar 2025,3,1,0,8,0,140.22,45.5,4,2,2
14 Mar 2025,0,0,0,5,0,0.0,0.0,4,2,1
15 Mar 2025,1,0,0,4,0,23.5,0.0,2,1,1
16 Mar 2025,1,1,0,9,0,23.5,23.5,1,1,1
17 Mar 2025,0,0,0,3,0,0.0,0.0,1,1,1
18 Mar 2025,0,0,0,3,0,0.0,0.0,1,0,1
19 Mar 2025,1,1,1,2,1,25.0,32.5,4,2,2
20 Mar 2025,2,1,0,3,0,214.5,139.5,4,2,1
21 Mar 2025,2,1,0,4,0,65.0,32.5,1,1,0
22 Mar 2025,0,0,1,2,0,0.0,0.0,3,3,1
23 Mar 2025,2,1,0,2,0,478.36,332.97,4,2,4
24 Mar 2025,4,4,1,4,1,330.1,297.7,5,3,3
25 Mar 2025,0,0,0,1,0,0.0,0.0,1,0,0
26 Mar 2025,0,0,0,1,0,0.0,0.0,0,0,0
27 Mar 2025,0,0,0,4,0,0.0,0.0,1,1,1
28 Mar 2025,1,1,1,2,0,16.0,23.5,0,0,0
29 Mar 2025,1,0,0,1,0,192.65,0.0,1,1,1
30 Mar 2025,1,1,1,1,1,883.39,351.9,3,1,2
31 Mar 2025,1,1,0,1,0,38.0,158.1,3,0,1
01 Apr 2025,0,1,0,2,0,0.0,45.5,0,0,0
02 Apr 2025,1,1,0,2,0,37.5,37.5,2,2,1
03 Apr 2025,0,0,0,1,0,0.0,0.0,1,0,0
06 Apr 2025,1,0,0,2,0,445.72,0.0,3,2,1
07 Apr 2025,1,1,0,1,0,35.5,35.5,1,0,0
09 Apr 2025,1,1,0,3,0,35.5,35.5,0,0,0
10 Apr 2025,0,0,0,0,0,0.0,0.0,2,0,1
11 Apr 2025,0,0,0,1,0,0.0,0.0,1,0,0
12 Apr 2025,1,1,0,2,0,170.0,177.5,0,0,0
13 Apr 2025,0,0,0,1,0,0.0,0.0,1,0,0
