Date,Author,Body,Heading,Rating,Location
2025-04-16,customer,"I love Abask and it’s my go to place for special gifts. The customer service is one of the best and they always go above and beyond. The products are stunning and the packaging is exquisite. The whole experience is excellent, which is why I keep coming back and will continue to do so. Couldn’t recommend enough. ",I love Abask and it’s my go to place…,5,GB
2025-04-14,Lucy Price,"Seamless transaction and very high quality item.
Proving once again, in life you get what you pay for!",Great luxury homeware vendor,5,US
2025-04-03,Eleanor,Very good quality products and great customer service.Bought a set of beach towels for my mum for Mother's day. The gift wrap box arrived damaged in the post and when I contacted the shop by email they had a new box in perfect condition shipped out the very next day. Will be buying from them again! ,Very good quality products and great…,5,GB
2025-03-29,Andrew Valitt,"I’ve bought a number of times from Abask.  The items they have for purchase are unique and beautiful.  Their service is exceptional.  The items are always prepared well for shipment, and arrive timely and without incident.",I’ve bought a number of times from…,5,US
2025-03-27,Daniela Herrera,"The purchase was a gift for my sister, it arrived on time. I bought a stapler for her and it's rapping was so nice, you guys really out did yourself. Loved it. ",Gift,5,US
2025-03-19,sophie keegan,I have never recieved my shipment ,I have never recieved my shipment,1,DE
2025-03-15,BZ,They have a great selection of beautiful designs which cannot be easily found and ordered elsewhere. The fast delivery and thoughtful packaging show how much they care about each product and customer. Highly recommend this store to anyone who is looking for something unique or luxurious gift.,Amazing Experience!,5,GB
2025-03-14,Maura Troiano,Love my beautiful dishes!  Unique & beautiful!,Love my beautiful dishes,5,US
2025-03-11,JOSE DOS SANTOS,"We didn't keep the product because my wife is hard to please... but Abask performed very well, the product was very nice, well pacjkaged, return service went more or less as polanned (DHL is a bit more complicated...).","Nice products, nice service. Great experience",5,US
2025-03-10,LC,Love this brand – so quirky and eye-catching. Perfect holiday shoes.,Rainbow-striped mules,5,GB
2025-03-07,Z.B.,"A wonderful site with unique, exquisite items. The service is excellent. ",A wonderful site ,5,GB
2025-03-05,Sheila G.,This is my second purchase from Abask -- incredibly professional -- fantastic experience from A-Z -- shipping is fast and the packaging is out of this world. Thank you!,This is my second purchase from Abask…,5,US
2025-03-04,PabAndres,i ordered some beautiful paperweight items. Incredibly packaged well and the delivery was quick and seamless. All of my deliveries were well packaged. Incredible customer service and I will be a returning customer.,i ordered some beautiful paperweight…,5,US
2025-02-27,Jorge Lopez,"Great experience.  Product arrive from the UK to Dallas, TX in less than a week.   ",Great experience,5,US
2025-02-25,Mar Fernández,"Great fast delivery times, and beautiful packaging.",Great fast delivery times,5,PT
