Date,Author,Body,Heading,Rating,Location
2025-04-26,Kristen,Beautiful shades! Great quality and well made!  My order came very fast. ,Beautiful shades,5,US
2025-04-26,Ciara McGettrick,"Quick delivery, gorgeous packaging and fantastic products ",Quick delivery,5,GB
2025-04-26,MBS,Though delayed shipping I am very happy with the product. Adequate communication from order to delivery.,delayed shipping worth the wait!,5,US
2025-04-26,customer,Lovely lamp!  It's great that it's cordless.  Looks wonderful on my table.,Lovely lamp,5,US
2025-04-25,Sara Fagan,Shipping was slightly slow but the tray itself is absolutely gorgeous and functional. I also made a tik Tok of the tray as well. Please let me know if there are any other products that I can try.,Shipping was slightly slow but the tray…,5,US
2025-04-25,Carly Belchak,Love the products! ,Love the products!,5,GB
2025-04-25,Edward,Great product. Incredibly well made and fast delivery! Will be ordering again very soon,Great product,5,GB
2025-04-25,Susan ,Very quick delivery & I was kept updated. A delightful French bunny egg cup purchased for my new granddaughter’s first Easter. A beautiful item tastefully gift wrapped with ribbon. Very happy 🥰,Very quick delivery & I was kept…,5,GB
2025-04-25,Emma M.,What an incredible company rooted in attention to detail! Beautifully packaged with thought care and gorgeous ribbons to complement each product. Thoroughly impressed by this team!,What an incredible company rooted in…,5,CA
2025-04-25,Emily Hodge Design,"I adore Mrs. Alice! Their response times are incredible, shipping is super fast, everything is packaged beautifully and most importantly the product is high quality and stunning in person. ",I adore Mrs,5,US
2025-04-24,Justine,"It's just seamless and there's nothing better than hearing the excitement in my daughter in law's voice when she says; ""Oh my goodness you've sent us Easter Magic in a box""! Thank you.",Easter Magic in a Box!,5,US
2025-04-24,Larry calvert,Item is beautiful and fast shipping. ,Item is beautiful and fast shipping.,5,US
2025-04-24,Anne Rebot,"Very good company , My orders arrive in Time.   ",Very good company ,5,FR
2025-04-24,Giorgia Fadini,Very beautiful items. I’ve received many compliments. The quality is high and the delivery was very quick too. Opening the box was a pleasure so carefully prepared. I will definitely purchase more from her. ,Very beautiful items,5,GB
2025-04-24,Carolyn Scrivener,Was very impressed with the super speedy shipment. Rattan balloon is gorgeous and was well packed and protected. ,Love my balloon,5,GB
2025-04-24,Ann White,"I bought the yellow and blue rabbits and the fluffy chicks, they are adorable and made a huge impact to our Easter table ",Adorable Easter additions ,5,GB
2025-04-23,Dee Slade,"Amazing customer service and experience. 
Beautiful website, same day dispatch, next day delivery and beautifully wrapped 🎀",Amazing customer service and…,5,GB
2025-04-23,Jemma,Such a pretty lampshade in a beautiful pattern. As an interior designer I like to only purchase top quality accessories for my projects and I was struggling to find one that fits the aesthetic and size requirement. This one fits the bill 100%!,Pretty Lampshade,5,GB
2025-04-23,Raven Sykes,Lovely items making special occasions extra special ,Lovely items making special occasions…,5,GB
2025-04-23,Katie,"A five star service, speedy, beautifully wrapped and such high quality unique goods. I will definitely be using you again!!! Thank you",A five star service,5,GB
2025-04-22,Siran Sahakian,"I have become obsessed with the Mrs. Alice website.  Everything I have ordered thus far has been beautiful, exactly as described and arrived in a timely manner. ",My New Favorite Place to shop,5,US
2025-04-22,Joanne Wilson,"I bought myself a leopard pinny as they looked so gorgeous, the. bought one for my bestie…. So pleased! Great communication from Mrs Alice, beautiful packaging! I’m delighted! Definitely a fabulous gift for yourself or a friend!",Fabulous presents for yourself or a friend!,5,GB
2025-04-21,Sophie,"Excellent customer service from Sarah after experiencing an issue with my order.

Sarah’s communication was friendly and helpful, working quickly to resolve my issue and send a replacement.

Such excellent customer service is a rarity these days, thank you Mrs Alice. ",Excellent customer service from Sarah…,5,GB
2025-04-21,gillian s.,"very good all
",very good all,5,US
