Date,Author,Body,Heading,Rating,Location
2025-04-03,Family,Very slow to despatch - over a week for my order.  Still waiting for it…..,Very slow to despatch,3,GB
2025-02-28,MARY KELLEY,"It is a pleasure and an honour to be a customer of Rebecca’s .

Her website is beautiful as it only contains beautiful objects.I am very fortunate to own some and I can’t wait to order more . I bought some facecloths recently and even they are in a class of their own and look gorgeous with my Matching towels .

I’ve got my eyes on her gorgeous bedding next. 

",Pure Class !,5,GB
2025-02-28,Sarah Kelley,"From pretty embroidered top sheets to hand painted pasta bowls and the fluffiest scallop-edged towels, every single piece I’ve got in my cottage from Rebecca Udall is so beautifully made. The service is so swift and professional too which means, for me, that strike the balance between a special little shop and a smooth and slick operation expected from Harrods and the such. ",Beautifully done in every way ,5,GB
2025-02-20,ROMILLA WICKREMERATNE,Do not buy the hurricane covers. They are shown on the website beautifully with a candle holder and even when you pop them in the basket they appear with the candle holder. They don't arrive with the candle holders which are another £88 on top of the covers. The covers are useless without the candle holders. I returned the items and was then told that they wouldn't refund as the boxes they came in were damaged. ,Do not buy the hurricane covers,1,GB
2025-02-13,Imogen S,"I was impressed with both the quality of the items and the customer service.  I had a few questions about my order and they were quick to respond, super friendly and incredibly helpful.  I will definitely be returning and recommending.",Excellent customer service experience,5,GB
2024-08-02,Cathy Palmer,Do not buy the salt grinder.  After one year of careful and infrequent use the salt grinder has stained green around the bottom and top.  After contacting customer services I was told that it was due to getting it wet and that I should be wiping it down with a dry cloth after each use.  Other than steam coming off food that is the only way I can imagine it coming into contact with water!  I don’t think this product is fit for purpose and certainly not at this price point. ,Do not buy the salt grinder,1,GB
2023-10-25,Elena,"Amazing Customer Service!
I have had my eye on piece from Rebcca Udall for some time now, only to find out that it has now been discontinued. I panicked as I could not get my hands on it anywhere, so I contacted the team via their Live Chat service to which they were so helpful. Within ten minutes of contacting I had secured not only one but two of the item in question! Thank you so much!",Amazing Customer Service!,5,GB
2023-08-02,A Reviewer,"Recently bought Scalloped Abaca placemats in Fern.  Beautifully made and colour is perfect.

Also purchased Annabel Scalloped Bed Linen with Asparagus trim.  Fabric quality draped very well no creases.  Comes in its own fabric bag with one piece of cardboard.  

This shop has so many nice things - very Moorish.  Love the cabbage tableware.",Recently bought Scalloped Abaca…,5,GB
2023-07-06,Anna R,“This is my 2nd year purchasing Rebecca’s fabulous products.I am so impressed by the level of customer service and quality items and the packaging with literature cards. You really do go the extra mile well done. This is a 5* company. Blue gingham Napkins are absolutely perfect. Thank you.,Fabulous quality and customer service ,5,GB
2023-02-10,Jenna,"Firstly I very nearly didn't order with them as it advertises 10% off first orders, but found this didn't apply to items on sale (which seems unfair, and wasn't highlighted in the T&Cs in a prominent matter otherwise I wouldn't have bothered signing up to the newsletter for the code). Anyway I decided to order as the items looked lovely. Unfortunately when they arrived they didn't look how I expected them to so I opted to return. They did reply speedily to my email requesting a return, and offered that I would either pay the return postage at my own cost or they would deduct £5. I opted to use their returns label at the £5 cost. However having now been notified of the refund, they have not refunded me the initial postage as well. Usually companies when you return will refund either outgoing or incoming postage (or both), but to have both deducted felt expensive for a small value, small item order, and means I wouldn't risk purchasing from their website ever again.",Had to pay for return and outgoing postage,1,GB
2023-01-19,Julia Wilson,I bought some lovely rattan table mats and am very pleased with them - just wish they weren’t quite so large.  They work nice on a wide table but on 90cm table they rather dominate it.  I wish you did different sizes as everything else about them can’t be faulted.,Scalloped edged rattan mats…,4,GB
2022-08-22,Sunstar,"Bought a small vase, well priced, fast delivery and packed well. Came with a lovely compliments card. 
Would recommend. 
Thank you.",Good product fast delivery,5,GB
2022-03-11,Emma T,Beautiful products (placemat and candles) and quick delivery. Packaging was lovely I shall be keeping the tissue paper.,Lovely,5,GB
2021-11-17,Yi,Was fast delivery and excellent  quality !!,Super fast and reliable,5,CH
2021-11-15,Mrs Amelia Cosgrave,Excellent service,Excellent,5,GB
2021-11-05,Stephanie Erdtmann,"It always is a pleasure to order your products . So friendly your service and so beautiful you products. I love the quality of your linens ! My stock will be growing , be sure .",It always is a pleasure to order your…,5,DE
2021-11-02,Dale J Knecht,"Was so looking forward to my new sheets, when thy arrived, order was wrong. I ordered king set with standard pillow cases. You sent one queen fitted, two king pillow cases, which were wrong, and one king flat sheet ,which is correct.  I don't know how you can mix up one king set??? What are my options?? Just had new king bed delivered",Was so looking forward to my new…,5,US
2021-10-14,AED,"Excellent service. Very efficient,beautifully packed and very good quality.",Excellent service,5,GB
2021-10-13,Anna ,"I ordered some water glasses and espresso glasses and I really like them. 
Thinking to order some towels from Rebecca Udall and cant wait to see them!",I ordered some water glasses and…,5,GB
2021-10-11,Melissa Knatchbull,Love Rebecca!  This is a great company.  All the products I’ve bought are beautiful and delivered efficiently,Love Rebecca,5,GB
2021-10-11,Susan brown,Beautifully curated collection of the highest quality. Fast international delivery. I’m one happy customer!,Beautifully curated collection of the…,5,AU
2021-10-11,Nicola Ozanne,Fabulous product and service.  A great company. Would definitely recommend.,Fabulous product and service,5,IT
2021-10-08,S Shah,The entire process was seamless! I love my ruffled napkin and placemat set and can’t wait to put them to use. The construction and quality of fabric is superb!,Excellent service from start to finish!,5,US
2021-10-04,customer,I love the quality of the luxury linens.,I love the quality of the luxury linens.,5,GB
2021-10-01,Janet,Lovely stuff beautifully packaged!,Lovely stuff beautifully packaged!,5,GB
2021-09-15,Glenda Scott,Lovely beautiful quality murano glasses delivered very promptly.,Lovely beautiful quality murano glasses…,5,GB
2021-09-10,Alex John,"Beautiful bud vases, created with such delicacy in their manufacture. They are going to look wonderful on my wedding tables, thank you so much.",Beautiful bud vases,5,GB
2021-09-08,customer,"Thank you!
Excellent customer service!
Extremely fast and super friendly!
Products amazing!",Thank you!,5,GB
2021-09-07,Damon Silva,Great service and super fast shipping. Packed really well. Thank you so much.,Great service and super fast shipping,5,US
2021-09-02,Julie Farin,Lovely glass bud vases and fast delivery to the US!,Lovely glass bud vases and fast…,5,US
2021-09-02,n/a natasha,"Rebecca has always supplied beautiful linens, since I first spotted them at a Christmas fair.
The ruffle place mats and matching napkins are a beautiful blue and so pretty on the table. 
Great packaging and swift delivery.",Super chic! One could place endless orders!,5,GB
2021-09-02,customer,"Another beautifully presented and high quality set of items which arrived the next day. I am a returning customer because of the exceptional customer service, and excellent selection of unusual and high quality items. Highly recommend.",Beautiful vases with exceptional customer service,5,GB
2021-08-20,customer,Love everything !!,Love everything !!,5,GB
2021-08-17,Jane Samuel,"Beautiful pieces it’s hard to decide which products to choose.  Very quick delivery, beautifully packaged and excellent customer service",Beautiful pieces it’s hard to decide…,5,GB
2021-08-10,MILES DE LANGE,Fast and friendly service as always! Thanks!,Fast and friendly service as always,5,GB
2021-08-10,Donna S.,"I couldn't rate this seller high enough!  The carafe I ordered is beautiful and I couldn't believe the great price for genuine Murano glass! I received the item in 3 days, all the way from Great Britain and I live in Florida!  Excellent product and service!  I give the highest recommendation!",I couldn't rate this seller high…,5,US
2021-08-10,Riley,"Gorgeous products, delivered on time. My dinner guests were very complimentary of my new tableware! Thank you Rebecca!",Gorgeous products,5,GB
2021-08-10,Lesley Young,"Excellent, personal customer service. Highly recommended.",Excellent,5,GB
2021-08-09,customer,I really love my Sabre cutlery. It’s beautiful and was packaged well. I will definitely be ordering from this wonderful company again. Thank you!,I really love my Sabre cutlery,5,GB
2021-08-05,Tracey Davis,"Excellent service, lovely quality napkin rings. Will be shopping again!!",Excellent service,5,GB
2021-08-04,Mrs Yerolemou,Even more beautiful than in the pictures. So thrilled xx,Even more beautiful than in the…,5,GB
2021-08-03,customer,Good products and arrived in elegant packaging.,Good products and arrived in elegant…,5,GB
2021-07-19,Erica Reeve,Really pleased with my Rattan bin. Not cheap but very good quality.,Really pleased with my Rattan bin,5,GB
2021-07-12,Nicole  Thompson,Rebecca is fantastic to work with and I especially love the Gabriella Murano glasses I bought from her on this trip and I so look forward to purchasing more stuff from her fabulously curated line in the future.,Rebecca is fantastic to work with and I…,5,US
2021-07-12,Customer,"Wonderful service, thank you!",Wonderful service,5,GB
2021-07-12,Nigel Hodd,Rebecca gives a personal service second to none.  She discussed my requirements and I received a most wonderful venetian glass vase within 2 days.  It was expertly packed and such a  delight to receive that I ordered a second one for a favourite niece to enjoy. I'm looking forward to looking at her web site for Xmas presents later in the year. It felt like service with a smile.,Rebecca gives a personal service second…,5,GB
2021-07-05,Mrs Wright,Lovely tissue box cover. Very well made and looks beautiful. Thank you,Lovely tissue box cover,5,GB
2021-07-05,Mrs Michelle Hyett,love my wicker placemats.,love my wicker placemats.,5,GB
2021-07-05,Lizi,Loved my products just what I wanted and I want more,Loved my products just what I wanted…,5,GB
2021-07-01,Miranda,Such fantastic service. Beautiful product and efficient delivery. Thank you so much!,Such fantastic service,5,US
2021-06-24,Sue Coulthard,Lovely tumbler and quick delivery… very pleased,Lovely tumbler and quick delivery… very…,5,GB
2021-06-22,Natalie Johnson,I love this product and the service is quick and safe. My pieces always arrive without any problems.,I love this product and the service is…,5,GB
2021-06-21,G L,Very cute vase and great price.,Great little vase.,5,GB
2021-06-17,kim Scillitoe,Amazing service and gorgeous products,Amazing service and gorgeous products,5,GB
2021-06-16,Shayna Mcallister,Such a gem of a business - always great customer service and the highest quality product offering. Will definitely be shopping here again and again!,"The loveliest things of the best quality, excellent customer service",5,GB
2021-06-14,Eva,"Prompt delivery, very well packaged - and a very beautiful jug!","Prompt delivery, well packaged, beautiful item",5,GB
2021-06-14,TC,Great service & beautiful candles,Great service & beautiful candles,5,GB
2021-06-11,terry mccaughey,Great service and love my purchases 😍,Great service and love my purchases 😍,5,IE
2021-06-10,Maria Capua,Simply the best! Rebecca is so lovely and kind and her table sets are absolutely gorgeous ! Very high quality and so elegant.,Simply the best,5,GB
2021-06-09,Victoria,"Lovely products, attentive personal service",Gorgeousness!,5,GB
2021-05-13,SHIRIN JACOB ,I just received the beautiful rattan chargers. The chargers are very well made. Fabulous service. Thank you Rebecca.,Fabulous service. Stunning chargers.,5,NO
2021-05-11,Michela Unternaehrer,All the products that I received are super !! Great quality and all so tasteful! Thank you much !,All the products that I received are…,5,MC
2021-05-11,Deborah  Hanham,Great service when buying this glass jug and glasses.So pretty and looked just like the pictures on line.very well packed for delivery.,Glass jug and glasses,5,GB
2021-05-05,IAIN  KIRKPATRICK,Early delivery and just what we wished for a birthday present.,Early delivery and just what we wished…,5,GB
2021-05-03,lisa minett,Excellent quality and good packaging,Excellent quality and good packaging,5,GB
2021-05-03,James Dalgleish,Amazing website and great products. Great packaging as well. I would give 10 stars if possible.,Amazing website and great products,5,GB
2021-04-27,Gemma,"Fantastic products and a great personal service
Many thanks",Fantastic products and a great personal…,5,GB
2021-04-27,Merle,"Prompt service, as described.  Very pleased with product.",Rattan Ice Bucket,5,GB
2021-04-27,Caroline Ogden,"Efficient from start to finish, definitely use again",Efficient from start to finish,5,GB
2021-04-19,Mz ,Excellent love it,Excellent,5,HK
2021-04-15,Valia Anyfioti,Great products and amazing customer service! I am sure I will be buying again!,Great products and amazing customer…,5,GB
2021-04-14,ClaraK,"Wonderful!

Thank you so much Rebecca, another gorgeous order!",Wonderful!,5,GB
2021-04-14,Cheryl,Beautiful candles.  Something you won't find on the high street.  So very pleased with them.  Well and safely packed.,Beautiful candles,5,GB
2021-04-14,LP,"Beautiful candles, I am so happy with them. Delivery was quick and efficient and the packaging they came in was gorgeous!",Beautiful candles,5,GB
2021-04-13,Entertablement. ,Absolutely gorgeous linens delivered very promptly. Amazing service!,Absolutely gorgeous linens delivered…,5,CA
2021-04-13,Ariella Perles,"easy and efficient website, quick delivery and follow up. 

The product is exactly as described and the packaging beautiful.

Thank you",excellant service,5,CH
2021-04-13,Paddy  Mills,Lovely quality products,Lovely quality products,5,GB
2021-04-13,Amanda  jones,"Lovely quality & well packaged
Just not sure they are worth £39 for 6 candles so probably won’t re purchase",Lovely quality & well packaged,4,GB
2021-04-13,isabel atherton,Lovely order and packaging!,Lovely order and packaging!,4,GB
2021-04-12,Andrea Smith,"Easy order process, delivered quickly and exactly what I ordered.  I love it!!",Easy order process,5,AU
2021-04-09,Delighted from North Yorkshire,Fantastic service and delivery and beautiful products,Fantastic service and delivery and…,5,GB
2021-04-09,William Lander,Very easy purchase and arrived safely- and the product was beautiful,Very easy purchase and arrived safely-…,5,GB
2021-04-07,Amanda Stephenson,"Faultless! Super impressed and love my candles, thank you.",Faultless,5,GB
2021-04-07,MB,"Beautiful box, packaging, excellent delivery and quality of product is gorgeous.",Beautiful box,5,ZA
